# BUSCO version is: 5.8.0 
# The lineage dataset is: eukaryota_odb12 (Creation date: 2025-07-01, number of genomes: 456, number of BUSCOs: 129)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
29058at2759	Complete	NODE_270_length_30999_cov_5.735748	1456	2778	+	158.1	174	https://www.orthodb.org/?query=29058at2759	u3 small nucleolar RNA-associated protein
30179at2759	Complete	NODE_663_length_20246_cov_4.849438	4367	3346	-	274.0	228	https://www.orthodb.org/?query=30179at2759	CWC15
30343at2759	Complete	NODE_3246_length_4004_cov_4.459863	3711	3040	-	146.9	131	https://www.orthodb.org/?query=30343at2759	zinc finger protein matrin-type protein
70224at2759	Fragmented	NODE_4284_length_2070_cov_6.527543	1628	745	-	146.8	144	https://www.orthodb.org/?query=70224at2759	phosphopantothenate--cysteine ligase
124397at2759	Complete	NODE_2246_length_7277_cov_5.883827	775	2090	+	151.8	142	https://www.orthodb.org/?query=124397at2759	ER membrane protein complex subunit 2-A
125856at2759	Missing
163257at2759	Complete	NODE_1306_length_12538_cov_6.141072	7109	9656	+	194.7	134	https://www.orthodb.org/?query=163257at2759	SERINE/ARGININE REPETITIVE MATRIX PROTEIN 1
189968at2759	Complete	NODE_62_length_52809_cov_5.587235	36433	44661	+	523.2	444	https://www.orthodb.org/?query=189968at2759	u3 small nucleolar RNA-interacting protein
190958at2759	Complete	NODE_1000_length_15511_cov_5.391951	14325	13458	-	273.2	190	https://www.orthodb.org/?query=190958at2759	Pre-mRNA-splicing factor
243313at2759	Complete	NODE_2048_length_8145_cov_5.251298	7881	3006	-	363.0	254	https://www.orthodb.org/?query=243313at2759	Gpn-loop gtpase
248751at2759	Complete	NODE_547_length_22055_cov_5.128227	760	1571	+	148.6	103	https://www.orthodb.org/?query=248751at2759	transcription elongation factor
269405at2759	Fragmented	NODE_510_length_22728_cov_4.233317	14254	12170	-	386.0	478	https://www.orthodb.org/?query=269405at2759	N-alpha-acetyltransferase 35,NatC auxiliary subunit
269919at2759	Complete	NODE_1275_length_12815_cov_3.693260	12309	10591	-	251.3	217	https://www.orthodb.org/?query=269919at2759	translation initiation factor
270624at2759	Complete	NODE_3496_length_3478_cov_5.442302	1087	3307	+	282.0	280	https://www.orthodb.org/?query=270624at2759	Periodic tryptophan protein
272245at2759	Fragmented	NODE_162_length_38112_cov_5.146596	30537	31490	+	199.0	213	https://www.orthodb.org/?query=272245at2759	exosome complex
272987at2759	Missing
273340at2759	Complete	NODE_2604_length_5842_cov_5.242094	5622	1241	-	524.1	381	https://www.orthodb.org/?query=273340at2759	Nucleolar protein
274828at2759	Complete	NODE_136_length_40902_cov_5.349157	7246	8463	+	319.4	348	https://www.orthodb.org/?query=274828at2759	ribosomal protein
277175at2759	Complete	NODE_305_length_29549_cov_5.654947	18164	16834	-	62.9	64	https://www.orthodb.org/?query=277175at2759	RWD_domain-containing_protein
277199at2759	Complete	NODE_279_length_30593_cov_5.135340	2043	2829	+	119.6	128	https://www.orthodb.org/?query=277199at2759	Density-regulated protein
278280at2759	Complete	NODE_1368_length_12034_cov_5.260038	3753	6007	+	455.7	362	https://www.orthodb.org/?query=278280at2759	zinc finger
283883at2759	Complete	NODE_199_length_35280_cov_5.099674	5116	2428	-	320.2	238	https://www.orthodb.org/?query=283883at2759	SNF8
284275at2759	Complete	NODE_1_length_109899_cov_5.258184	85723	78630	-	530.1	369	https://www.orthodb.org/?query=284275at2759	transcription factor
285729at2759	Complete	NODE_434_length_24819_cov_5.076926	19402	20228	+	86.5	83	https://www.orthodb.org/?query=285729at2759	nucleolar protein
295656at2759	Complete	NODE_1247_length_13078_cov_4.205329	6686	5301	-	361.7	368	https://www.orthodb.org/?query=295656at2759	Signalosome subunit 4
296793at2759	Complete	NODE_361_length_27371_cov_5.237516	13697	10900	-	488.6	712	https://www.orthodb.org/?query=296793at2759	conserved oligomeric golgi complex subunit 3
308449at2759	Complete	NODE_537_length_22190_cov_5.055839	7223	5577	-	242.8	293	https://www.orthodb.org/?query=308449at2759	p21-activated protein kinase-interacting protein
311633at2759	Complete	NODE_991_length_15565_cov_5.428498	53	1153	+	246.3	229	https://www.orthodb.org/?query=311633at2759	anamorsin
338231at2759	Complete	NODE_181_length_36815_cov_4.936507	2591	1958	-	83.9	104	https://www.orthodb.org/?query=338231at2759	GINS complex
338614at2759	Complete	NODE_1281_length_12723_cov_4.975845	9747	12722	+	721.8	554	https://www.orthodb.org/?query=338614at2759	ubiquitin-like modifier-activating enzyme
340500at2759	Complete	NODE_3905_length_2679_cov_3.532393	414	1131	+	69.6	108	https://www.orthodb.org/?query=340500at2759	Exosome complex component
344220at2759	Complete	NODE_183_length_36525_cov_5.384892	22709	23391	+	93.8	96	https://www.orthodb.org/?query=344220at2759	of RNA polymerase II transcription subunit 6
360521at2759	Complete	NODE_3114_length_4323_cov_5.844189	3884	1689	-	378.4	445	https://www.orthodb.org/?query=360521at2759	General transcription factor iih subunit
391137at2759	Fragmented	NODE_1161_length_13833_cov_4.055959	793	105	-	145.2	145	https://www.orthodb.org/?query=391137at2759	vacuolar sorting-associated
407922at2759	Complete	NODE_1206_length_13467_cov_5.529302	1915	6132	+	1001.2	921	https://www.orthodb.org/?query=407922at2759	WD repeat-containing 3
421002at2759	Complete	NODE_247_length_31931_cov_5.068735	22893	23969	+	414.9	297	https://www.orthodb.org/?query=421002at2759	deoxyhypusine hydroxylase
422663at2759	Complete	NODE_1902_length_8836_cov_5.514064	1311	5296	+	453.0	601	https://www.orthodb.org/?query=422663at2759	atp-dependent rna helicase
431825at2759	Complete	NODE_2867_length_5047_cov_4.504006	4577	2130	-	391.2	491	https://www.orthodb.org/?query=431825at2759	Esf1
437331at2759	Complete	NODE_86_length_47782_cov_5.268234	3409	10590	+	795.4	513	https://www.orthodb.org/?query=437331at2759	ELECTRON TRANSFER FLAVOPROTEIN-UBIQUINONE OXIDOREDUCTASE
441223at2759	Complete	NODE_439_length_24717_cov_5.539007	5577	12459	+	499.2	293	https://www.orthodb.org/?query=441223at2759	krr1 small subunit processome component
441771at2759	Complete	NODE_1253_length_12995_cov_5.320556	553	3237	+	268.3	527	https://www.orthodb.org/?query=441771at2759	nucleolar protein
443772at2759	Complete	NODE_209_length_34660_cov_5.155700	23982	22381	-	191.9	214	https://www.orthodb.org/?query=443772at2759	RRNA processing protein
445326at2759	Complete	NODE_1071_length_14735_cov_5.469482	457	2689	+	379.6	400	https://www.orthodb.org/?query=445326at2759	u3 small nucleolar
540662at2759	Complete	NODE_500_length_22978_cov_4.961392	17151	20992	+	644.1	445	https://www.orthodb.org/?query=540662at2759	U4/U6 small nuclear ribonucleoprotein
674963at2759	Complete	NODE_945_length_16003_cov_5.896413	2844	1841	-	175.5	143	https://www.orthodb.org/?query=674963at2759	Coiled-coil domain-containing protein
1584384at2759	Fragmented	NODE_5223_length_1095_cov_2.218269	337	1095	+	233.0	189	https://www.orthodb.org/?query=1584384at2759	Autophagy-related protein 3
1649088at2759	Complete	NODE_1469_length_11354_cov_4.239933	9559	4956	-	542.9	361	https://www.orthodb.org/?query=1649088at2759	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1
1698572at2759	Complete	NODE_96_length_46984_cov_5.185600	29897	32489	+	660.2	448	https://www.orthodb.org/?query=1698572at2759	phenylalanine--tRNA ligase subunit beta
1704689at2759	Complete	NODE_108_length_44735_cov_5.349799	1035	1724	+	208.5	120	https://www.orthodb.org/?query=1704689at2759	cytochrome c oxidase assembly protein
1715808at2759	Complete	NODE_2582_length_5922_cov_4.341742	5019	5922	+	204.1	165	https://www.orthodb.org/?query=1715808at2759	electron transfer flavoprotein
1726137at2759	Complete	NODE_1303_length_12556_cov_4.731781	2592	6168	+	531.8	361	https://www.orthodb.org/?query=1726137at2759	cytochrome c oxidase assembly
1739576at2759	Complete	NODE_1027_length_15194_cov_5.414955	5682	4577	-	179.5	141	https://www.orthodb.org/?query=1739576at2759	pre-mRNA-splicing factor
1741719at2759	Complete	NODE_927_length_16226_cov_5.187187	11122	1711	-	669.4	804	https://www.orthodb.org/?query=1741719at2759	HIRA
1847590at2759	Complete	NODE_2523_length_6160_cov_5.266830	541	1377	+	484.3	254	https://www.orthodb.org/?query=1847590at2759	Ribosomal protein
1898821at2759	Complete	NODE_1502_length_11139_cov_5.226723	7238	3354	-	576.4	459	https://www.orthodb.org/?query=1898821at2759	BETA-CATENIN-LIKE PROTEIN 1
1911237at2759	Complete	NODE_3801_length_2841_cov_5.754846	2665	827	-	318.8	324	https://www.orthodb.org/?query=1911237at2759	RNA 3' terminal phosphate cyclase
1925287at2759	Complete	NODE_133_length_41449_cov_4.802411	23893	24731	+	184.7	141	https://www.orthodb.org/?query=1925287at2759	catalytic subunit of tRNA (adenine(58)-N(1))-methyltransferase
1933455at2759	Complete	NODE_77_length_49261_cov_5.275190	29359	36580	+	246.1	296	https://www.orthodb.org/?query=1933455at2759	protein
1935146at2759	Complete	NODE_1960_length_8580_cov_5.853138	1508	93	-	477.0	469	https://www.orthodb.org/?query=1935146at2759	u3 small nucleolar rna-associated protein
2187159at2759	Complete	NODE_1007_length_15450_cov_5.513024	10219	10674	+	125.9	80	https://www.orthodb.org/?query=2187159at2759	H/ACA ribonucleoprotein complex subunit
2192561at2759	Complete	NODE_777_length_18229_cov_5.889402	7666	5028	-	584.2	410	https://www.orthodb.org/?query=2192561at2759	BYSTIN
2195431at2759	Complete	NODE_315_length_29277_cov_5.160153	25009	2094	-	598.0	681	https://www.orthodb.org/?query=2195431at2759	Chromosome transmission fidelity 18 protein
2196187at2759	Complete	NODE_1170_length_13780_cov_5.438980	6525	3512	-	256.3	234	https://www.orthodb.org/?query=2196187at2759	sda1
3142434at2759	Complete	NODE_1255_length_12971_cov_4.818055	8603	12313	+	1004.6	793	https://www.orthodb.org/?query=3142434at2759	periodic tryptophan protein
5414888at2759	Complete	NODE_135_length_41315_cov_5.097746	8614	26556	+	882.4	769	https://www.orthodb.org/?query=5414888at2759	u3 small nucleolar rna-associated protein
5421607at2759	Fragmented	NODE_704_length_19454_cov_4.881953	17295	15756	-	251.3	339	https://www.orthodb.org/?query=5421607at2759	SRP72
5571054at2759	Complete	NODE_1949_length_8625_cov_5.735239	8273	2989	-	823.0	623	https://www.orthodb.org/?query=5571054at2759	ribosome biogenesis protein
5581181at2759	Missing
7396459at2759	Complete	NODE_2416_length_6525_cov_5.645131	2326	5981	+	635.7	541	https://www.orthodb.org/?query=7396459at2759	Helicase
8110916at2759	Complete	NODE_680_length_19825_cov_5.388366	389	1992	+	404.4	305	https://www.orthodb.org/?query=8110916at2759	atp-dependent (s)-nad(p)h-hydrate dehydratase
10040024at2759	Complete	NODE_206_length_34946_cov_4.479637	2065	975	-	51.7	51	https://www.orthodb.org/?query=10040024at2759	Surfeit 1
10248812at2759	Complete	NODE_2561_length_6017_cov_5.642402	371	1371	+	280.8	174	https://www.orthodb.org/?query=10248812at2759	u3 small nucleolar ribonucleoprotein
10249111at2759	Complete	NODE_515_length_22664_cov_5.957229	927	10051	+	442.2	332	https://www.orthodb.org/?query=10249111at2759	PELOTA
10249309at2759	Complete	NODE_500_length_22978_cov_4.961392	703	6224	+	425.1	298	https://www.orthodb.org/?query=10249309at2759	protein
10249667at2759	Complete	NODE_754_length_18524_cov_5.085440	14973	15586	+	233.9	159	https://www.orthodb.org/?query=10249667at2759	malignant t-cell-amplified sequence 1
10250970at2759	Complete	NODE_1486_length_11274_cov_5.459578	406	1045	+	394.4	217	https://www.orthodb.org/?query=10250970at2759	splicing factor 3A subunit 2
10251185at2759	Complete	NODE_684_length_19798_cov_4.615459	16077	16906	+	217.7	165	https://www.orthodb.org/?query=10251185at2759	kinase
10251574at2759	Complete	NODE_297_length_29891_cov_5.177604	28751	24517	-	1085.7	701	https://www.orthodb.org/?query=10251574at2759	DNA replication licensing factor
10252281at2759	Complete	NODE_28_length_64907_cov_5.335780	10178	11203	+	254.1	224	https://www.orthodb.org/?query=10252281at2759	Asparagine synthetase domain-containing protein
10252405at2759	Fragmented	NODE_42_length_59577_cov_4.744195	48020	47079	-	83.6	132	https://www.orthodb.org/?query=10252405at2759	ER traffic protein 4
10252587at2759	Complete	NODE_1302_length_12567_cov_5.537724	4519	5445	+	230.2	188	https://www.orthodb.org/?query=10252587at2759	GINS complex
10252687at2759	Missing
10252707at2759	Complete	NODE_562_length_21787_cov_5.479385	1263	4099	+	716.1	631	https://www.orthodb.org/?query=10252707at2759	cap binding
10253092at2759	Complete	NODE_315_length_29277_cov_5.160153	20027	21143	+	180.7	142	https://www.orthodb.org/?query=10253092at2759	Ribosome maturation protein
10253098at2759	Complete	NODE_262_length_31292_cov_5.237123	30446	26237	-	203.6	311	https://www.orthodb.org/?query=10253098at2759	histone acetyltransferase
10254665at2759	Fragmented	NODE_352_length_27597_cov_5.200893	16151	14921	-	253.0	228	https://www.orthodb.org/?query=10254665at2759	tRNA (Adenine(58)-N(1))-methyltransferase non-catalytic subunit trm6
10254730at2759	Complete	NODE_699_length_19515_cov_5.082837	15014	12465	-	517.1	494	https://www.orthodb.org/?query=10254730at2759	DNA polymerase
10255118at2759	Complete	NODE_984_length_15641_cov_4.466380	11537	8865	-	231.5	358	https://www.orthodb.org/?query=10255118at2759	Signal recognition particle
10256122at2759	Complete	NODE_888_length_16603_cov_5.353819	6536	8729	+	512.0	296	https://www.orthodb.org/?query=10256122at2759	Pleiotropic regulator
10256606at2759	Missing
10261062at2759	Complete	NODE_1650_length_10187_cov_5.577773	10096	8847	-	81.0	63	https://www.orthodb.org/?query=10261062at2759	adenylyltransferase
10261146at2759	Complete	NODE_1606_length_10473_cov_5.722020	163	1868	+	450.0	326	https://www.orthodb.org/?query=10261146at2759	beta subunit of farnesyltransferase
10261918at2759	Complete	NODE_1351_length_12184_cov_5.481738	5603	6858	+	237.3	189	https://www.orthodb.org/?query=10261918at2759	splicing factor
10262062at2759	Complete	NODE_1806_length_9289_cov_5.399177	7961	7135	-	219.8	160	https://www.orthodb.org/?query=10262062at2759	Ribosome biogenesis protein
10262308at2759	Complete	NODE_158_length_38385_cov_4.250274	14236	13145	-	227.1	188	https://www.orthodb.org/?query=10262308at2759	MRNA turnover protein
10262326at2759	Complete	NODE_3239_length_4022_cov_3.668263	885	2406	+	567.2	397	https://www.orthodb.org/?query=10262326at2759	Transferase
10263536at2759	Complete	NODE_13_length_78173_cov_5.676784	63617	62021	-	366.0	314	https://www.orthodb.org/?query=10263536at2759	aminomethyltransferase
10263597at2759	Complete	NODE_306_length_29524_cov_5.178221	9851	12476	+	229.0	400	https://www.orthodb.org/?query=10263597at2759	Nucleolar complex protein
10264038at2759	Fragmented	NODE_224_length_33680_cov_4.874171	12592	11663	-	163.6	169	https://www.orthodb.org/?query=10264038at2759	exosome complex component
10264378at2759	Complete	NODE_135_length_41315_cov_5.097746	21095	23827	+	658.9	539	https://www.orthodb.org/?query=10264378at2759	u3 small nucleolar RNA-associated protein
10264544at2759	Complete	NODE_2733_length_5440_cov_5.503807	1044	3830	+	389.4	342	https://www.orthodb.org/?query=10264544at2759	protein
10264728at2759	Complete	NODE_1398_length_11841_cov_6.349907	4824	4017	-	186.7	153	https://www.orthodb.org/?query=10264728at2759	acetyltransferase
10264910at2759	Complete	NODE_1479_length_11302_cov_5.181204	9241	5695	-	705.1	564	https://www.orthodb.org/?query=10264910at2759	PESCADILLO
10265695at2759	Complete	NODE_1794_length_9334_cov_4.851277	4719	6065	+	313.6	312	https://www.orthodb.org/?query=10265695at2759	eukaryotic translation initiation factor 3 subunit 3
10267031at2759	Fragmented	NODE_1695_length_9908_cov_4.116411	4883	3553	-	239.0	253	https://www.orthodb.org/?query=10267031at2759	Eukaryotic translation initiation factor 3 subunit m
10267436at2759	Complete	NODE_1122_length_14275_cov_5.073558	3448	13498	+	645.3	420	https://www.orthodb.org/?query=10267436at2759	Notchless
