category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0065010	0.000645712410766268	0.99956624268003	106	2301	extracellular membrane-bounded organelle	CC	0.333008622439156	1
GO:0008250	0.000652730551866976	0.999960131932565	4	14	oligosaccharyltransferase complex	CC	0.333008622439156	1
GO:0006518	0.000769240009331156	0.999560754737209	51	957	peptide metabolic process	BP	0.382931253430315	1
GO:0005198	0.000794335650411539	0.999571734670601	42	801	structural molecule activity	MF	0.382931253430315	1
GO:0034645	0.000800622883729206	0.999511559476987	65	1225	cellular macromolecule biosynthetic process	BP	0.382931253430315	1
GO:0042255	0.000827232946548734	0.999840309595685	8	61	ribosome assembly	BP	0.387583958915629	1
GO:0097237	0.000897310291532057	0.9997608717103	11	120	cellular response to toxic substance	BP	0.412008993459859	1
GO:0004576	0.000953470700576871	0.999972744994373	3	6	oligosaccharyl transferase activity	MF	0.416851216406323	1
GO:0031533	0.000962327488001356	1	2	2	mRNA cap methyltransferase complex	CC	0.416851216406323	1
GO:0106005	0.000962327488001356	1	2	2	RNA 5'-cap (guanine-N7)-methylation	BP	0.416851216406323	1
GO:0022613	0.000995378158674652	0.999513394361988	31	484	ribonucleoprotein complex biogenesis	BP	0.419229538919102	1
GO:0003743	0.00100433943028794	0.999803004172938	8	51	translation initiation factor activity	MF	0.419229538919102	1
GO:0035372	0.00104598958237073	0.999892818523746	5	19	protein localization to microtubule	BP	0.428818372001199	1
GO:1990234	0.00112186972086579	0.999345527944163	52	837	transferase complex	CC	0.451857632484858	1
GO:0003985	0.00118537275170955	0.999963414258688	3	6	acetyl-CoA C-acetyltransferase activity	MF	0.46920323506462	1
GO:0031981	0.00130573602557771	0.999018404438948	213	4913	nuclear lumen	CC	0.504460699943829	1
GO:1902889	0.00131839193294842	1	2	2	protein localization to spindle microtubule	BP	0.504460699943829	1
GO:0005829	0.00135996925459997	0.998964834919459	247	5423	cytosol	CC	0.511838920444363	1
GO:0043252	0.00141429039433262	0.999893346977782	4	14	sodium-independent organic anion transport	BP	0.518913606831492	1
GO:0009060	0.00142397235083126	0.999520388763212	14	191	aerobic respiration	BP	0.518913606831492	1
GO:0019843	0.00148763785682336	0.999682748734769	8	68	rRNA binding	MF	0.525549664653048	1
GO:0110095	0.00148796620796446	0.999938739130091	3	9	cellular detoxification of aldehyde	BP	0.525549664653048	1
GO:0016453	0.00156597156028122	0.999941173197457	3	7	C-acetyltransferase activity	MF	0.544720834559641	1
GO:0018279	0.00192655975727027	0.999763327481568	5	24	protein N-linked glycosylation via asparagine	BP	0.654751167957631	1
GO:0006091	0.00194662819943457	0.999016749275418	30	501	generation of precursor metabolites and energy	BP	0.654751167957631	1
GO:0030894	0.00197118800074495	0.99983203251662	4	16	replisome	CC	0.654751167957631	1
GO:0015347	0.00202210607778412	0.999828872635212	4	15	sodium-independent organic anion transmembrane transporter activity	MF	0.654751167957631	1
GO:0043227	0.00202488600596706	0.998483311019462	527	13763	membrane-bounded organelle	CC	0.654751167957631	1
GO:0098754	0.00206435552736451	0.99938390962955	11	151	detoxification	BP	0.658242697183812	1
GO:0070469	0.00221279181255947	0.999487628435513	8	99	respirasome	CC	0.683537081640913	1
GO:0022618	0.00222028258579834	0.999123960655758	17	229	ribonucleoprotein complex assembly	BP	0.683537081640913	1
GO:0003988	0.00224086314437343	0.999904382036468	3	7	acetyl-CoA C-acyltransferase activity	MF	0.683537081640913	1
GO:0060698	0.00235257032604039	1	2	2	endoribonuclease inhibitor activity	MF	0.683537081640913	1
GO:0060701	0.00235257032604039	1	2	2	negative regulation of ribonuclease activity	BP	0.683537081640913	1
GO:0060702	0.00235257032604039	1	2	2	negative regulation of endoribonuclease activity	BP	0.683537081640913	1
GO:0005739	0.00237904705197317	0.998411495875612	80	1654	mitochondrion	CC	0.683537081640913	1
GO:0071013	0.00238186978531549	0.999336588114593	10	91	catalytic step 2 spliceosome	CC	0.683537081640913	1
GO:0014015	0.00242683705878333	0.999439624140849	8	69	positive regulation of gliogenesis	BP	0.684016908296362	1
GO:0018196	0.00247220523426166	0.999676313381399	5	25	peptidyl-asparagine modification	BP	0.684016908296362	1
GO:0001832	0.0024897196553844	0.999679792940935	5	22	blastocyst growth	BP	0.684016908296362	1
GO:0031005	0.00250271889088311	0.999778880457361	4	14	filamin binding	MF	0.684016908296362	1
GO:0005615	0.0025580731294104	0.998130287869504	138	3626	extracellular space	CC	0.690920504764753	1
GO:0070925	0.00268150851447673	0.998343322447424	55	936	organelle assembly	BP	0.709495026286375	1
GO:0005844	0.00268865176787676	0.999370442955199	8	66	polysome	CC	0.709495026286375	1
GO:0001798	0.00285875492076517	0.999969708589726	2	3	positive regulation of type IIa hypersensitivity	BP	0.731525579402197	1
GO:0002894	0.00285875492076517	0.999969708589726	2	3	positive regulation of type II hypersensitivity	BP	0.731525579402197	1
GO:0005622	0.00288284011627888	0.997918759991751	582	15308	intracellular anatomical structure	CC	0.731525579402197	1
GO:0009069	0.00291909186002259	0.999488473168294	6	40	serine family amino acid metabolic process	BP	0.731525579402197	1
GO:0046294	0.00293145541009679	0.999968532938857	2	3	formaldehyde catabolic process	BP	0.731525579402197	1
GO:0032993	0.00308697742316304	0.998863999451827	14	224	protein-DNA complex	CC	0.76205191054814	1
GO:0045687	0.00327822152642769	0.999408152225353	6	43	positive regulation of glial cell differentiation	BP	0.80065329578433	1
GO:0043024	0.00344872954326685	0.999652305220475	4	17	ribosomal small subunit binding	MF	0.833430872150739	1
GO:0071826	0.00364358871278652	0.998489524455929	17	237	ribonucleoprotein complex subunit organization	BP	0.871349059043259	1
GO:0006213	0.00377662831775325	0.999588753356104	4	24	pyrimidine nucleoside metabolic process	BP	0.887602826622438	1
GO:0005662	0.00378887869191563	0.999934595264654	2	4	DNA replication factor A complex	CC	0.887602826622438	1
GO:1990204	0.00396871031892753	0.99879678819602	10	124	oxidoreductase complex	CC	0.920339914160992	1
GO:0051348	0.004159235934469	0.998115198819111	20	277	negative regulation of transferase activity	BP	0.954877385835393	1
GO:0005743	0.00442645014571083	0.997744955843395	26	495	mitochondrial inner membrane	CC	1	1
GO:0097621	0.00458356212880969	0.999937968573156	2	3	monoamine oxidase activity	MF	1	1
GO:0006119	0.00467153069186286	0.998543461629614	10	144	oxidative phosphorylation	BP	1	1
GO:1901029	0.00475859738410981	0.999668536972763	3	14	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	BP	1	1
GO:0043231	0.00478792584716083	0.996265204922392	487	12549	intracellular membrane-bounded organelle	CC	1	1
GO:1903241	0.00491251528137819	0.99942381390829	4	24	U2-type prespliceosome assembly	BP	1	1
GO:0005746	0.00496965920895838	0.998826116213315	7	92	mitochondrial respirasome	CC	1	1
GO:0031232	0.0050936468187413	0.999688635455102	3	8	extrinsic component of external side of plasma membrane	CC	1	1
GO:0045182	0.00510086776748513	0.997993435960893	14	405	translation regulator activity	MF	1	1
GO:0044092	0.0052245177979475	0.996629126759648	57	1176	negative regulation of molecular function	BP	1	1
GO:0071619	0.00523931612269816	0.999923973893828	2	3	phosphorylation of RNA polymerase II C-terminal domain serine 2 residues	BP	1	1
GO:0001824	0.00524322357822485	0.998246233481141	11	118	blastocyst development	BP	1	1
GO:0072237	0.00528194461366698	0.999923030290547	2	3	metanephric proximal tubule development	BP	1	1
GO:0008379	0.00543592652062158	0.999849667306569	2	7	thioredoxin peroxidase activity	MF	1	1
GO:0140824	0.00543592652062158	0.999849667306569	2	7	thioredoxin-dependent peroxiredoxin activity	MF	1	1
GO:0005657	0.00548701889549904	0.998553409756948	8	66	replication fork	CC	1	1
GO:0036265	0.00549216390216215	0.999855288593608	2	6	RNA (guanine-N7)-methylation	BP	1	1
GO:0032088	0.00565827304756507	0.998334552635264	9	97	negative regulation of NF-kappaB transcription factor activity	BP	1	1
GO:0043021	0.00572310676349618	0.997761824161434	14	160	ribonucleoprotein complex binding	MF	1	1
GO:0005654	0.00586610934259697	0.995451435307207	192	4161	nucleoplasm	CC	1	1
GO:0005686	0.00639589334847538	0.999180817308612	4	27	U2 snRNP	CC	1	1
GO:0098800	0.00641705961345065	0.997901254578861	10	155	inner mitochondrial membrane protein complex	CC	1	1
GO:0005504	0.00646008435387342	0.998870340543867	5	49	fatty acid binding	MF	1	1
GO:0042274	0.00658029322235578	0.998193177771998	8	79	ribosomal small subunit biogenesis	BP	1	1
GO:0010639	0.0066393975390613	0.996570651343836	25	368	negative regulation of organelle organization	BP	1	1
GO:0016408	0.00670676988213207	0.999160466757693	4	20	C-acyltransferase activity	MF	1	1
GO:0043226	0.00682186910123971	0.994795644053383	551	14597	organelle	CC	1	1
GO:0052595	0.00695205595904844	0.999835510559953	2	4	aliphatic amine oxidase activity	MF	1	1
GO:0052596	0.00695205595904844	0.999835510559953	2	4	phenethylamine:oxygen oxidoreductase (deaminating) activity	MF	1	1
GO:0060700	0.00697453440659997	0.999499993630456	3	9	regulation of ribonuclease activity	BP	1	1
GO:0008428	0.00699102640042398	0.999882004482694	2	3	ribonuclease inhibitor activity	MF	1	1
GO:0005225	0.0070817099812847	0.99948945790892	3	9	volume-sensitive anion channel activity	MF	1	1
GO:0021508	0.00708770047888351	0.99987950557031	2	3	floor plate formation	BP	1	1
GO:0032355	0.00711330434311616	0.997516993457473	11	121	response to estradiol	BP	1	1
GO:0034683	0.00716361343686677	0.999877530470149	2	3	integrin alphav-beta3 complex	CC	1	1
GO:0098505	0.00716983079501765	0.999463325110189	3	10	G-rich strand telomeric DNA binding	MF	1	1
GO:0097550	0.0072654887589884	0.999439352181963	3	11	transcription preinitiation complex	CC	1	1
GO:0001796	0.00731216219603428	0.999822359356941	2	4	regulation of type IIa hypersensitivity	BP	1	1
GO:0002892	0.00731216219603428	0.999822359356941	2	4	regulation of type II hypersensitivity	BP	1	1
GO:1900262	0.00736934562890126	0.999406761654811	3	13	regulation of DNA-directed DNA polymerase activity	BP	1	1
GO:1900264	0.00736934562890126	0.999406761654811	3	13	positive regulation of DNA-directed DNA polymerase activity	BP	1	1
GO:0051920	0.00746951251234895	0.999747120502252	2	8	peroxiredoxin activity	MF	1	1
GO:0046292	0.00763450390708534	0.999810291161717	2	4	formaldehyde metabolic process	BP	1	1
GO:0016894	0.00765965219259494	0.999358383983768	3	15	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters	MF	1	1
GO:0031710	0.0078410775797928	1	1	1	neuromedin B receptor binding	MF	1	1
GO:0160025	0.0078410775797928	1	1	1	sensory perception of itch	BP	1	1
GO:0006379	0.0078845136146772	0.99895861422159	4	21	mRNA cleavage	BP	1	1
GO:0060074	0.00793922019820213	0.998601926305137	5	29	synapse maturation	BP	1	1
GO:0009116	0.00815357161082786	0.998188516026543	6	56	nucleoside metabolic process	BP	1	1
GO:0046958	0.00852724478444203	0.999775450442989	2	4	nonassociative learning	BP	1	1
GO:0030247	0.00854169518590112	0.998820405587029	4	25	polysaccharide binding	MF	1	1
GO:0030867	0.00933651859833955	0.998682868122062	4	24	rough endoplasmic reticulum membrane	CC	1	1
GO:0090734	0.00948106836723785	0.996755871923711	10	106	site of DNA damage	CC	1	1
GO:0032392	0.00965969353012527	0.996697761123743	10	97	DNA geometric change	BP	1	1
GO:0033505	0.00966438667167004	0.999728176473872	2	4	floor plate morphogenesis	BP	1	1
GO:0009636	0.00986755105424786	0.995703083267073	15	247	response to toxic substance	BP	1	1
GO:0030141	0.00993461208986282	0.993739427342488	44	873	secretory granule	CC	1	1
GO:0002675	0.0100456057634654	0.998528837932497	4	28	positive regulation of acute inflammatory response	BP	1	1
GO:0044237	0.0101363830435709	0.991792166057594	393	10163	cellular metabolic process	BP	1	1
GO:0048711	0.0103169825097028	0.999047055681047	3	14	positive regulation of astrocyte differentiation	BP	1	1
GO:0140694	0.0106291871393868	0.994284456455681	25	387	non-membrane-bounded organelle assembly	BP	1	1
GO:0043626	0.0106308676774229	1	1	1	PCNA complex	CC	1	1
GO:0044796	0.0106308676774229	1	1	1	DNA polymerase processivity factor complex	CC	1	1
GO:0004857	0.0109435162913287	0.994344950661123	22	392	enzyme inhibitor activity	MF	1	1
GO:0098737	0.01101588246973	1	1	1	protein insertion into plasma membrane	BP	1	1
GO:0120003	0.01101588246973	1	1	1	hinge region between urothelial plaques of apical plasma membrane	CC	1	1
GO:0004579	0.0111064580416572	0.999610935457249	2	5	dolichyl-diphosphooligosaccharide-protein glycotransferase activity	MF	1	1
GO:1902229	0.0113284333651468	0.99776747106254	5	38	regulation of intrinsic apoptotic signaling pathway in response to DNA damage	BP	1	1
GO:0019518	0.0113587674350663	1	1	1	L-threonine catabolic process to glycine	BP	1	1
GO:0120241	0.0113587674350663	1	1	1	2-iminobutanoate/2-iminopropanoate deaminase	MF	1	1
GO:0120242	0.0113587674350663	1	1	1	2-iminobutanoate deaminase activity	MF	1	1
GO:0120243	0.0113587674350663	1	1	1	2-iminopropanoate deaminase activity	MF	1	1
GO:0043596	0.0113991940675042	0.997770761967925	5	34	nuclear replication fork	CC	1	1
GO:0032232	0.0114319902118697	0.99775708396936	5	35	negative regulation of actin filament bundle assembly	BP	1	1
GO:0014013	0.0115266855899425	0.996185790269703	9	107	regulation of gliogenesis	BP	1	1
GO:0032211	0.0115922319228161	0.998286122476253	4	21	negative regulation of telomere maintenance via telomerase	BP	1	1
GO:0016765	0.0118049993308729	0.997155216318623	6	58	transferase activity, transferring alkyl or aryl (other than methyl) groups	MF	1	1
GO:0036031	0.0118964562255104	1	1	1	recruitment of mRNA capping enzyme to RNA polymerase II holoenzyme complex	BP	1	1
GO:0072537	0.0124210889016969	0.998787609621336	3	13	fibroblast activation	BP	1	1
GO:0004601	0.0124562560235053	0.997430138198229	5	54	peroxidase activity	MF	1	1
GO:0097250	0.0125403553361314	0.999415666356166	2	10	mitochondrial respirasome assembly	BP	1	1
GO:0042994	0.012728267536507	0.998714221847621	3	15	cytoplasmic sequestering of transcription factor	BP	1	1
GO:0030126	0.0128888928684338	0.998724469417194	3	13	COPI vesicle coat	CC	1	1
GO:0000421	0.0130831940968585	0.996799939580903	6	51	autophagosome membrane	CC	1	1
GO:0030512	0.0131845212838884	0.995553107262805	9	99	negative regulation of transforming growth factor beta receptor signaling pathway	BP	1	1
GO:1902065	0.0132058352823448	0.998702631079509	3	12	response to L-glutamate	BP	1	1
GO:0032069	0.013230858510361	0.997953356858185	4	22	regulation of nuclease activity	BP	1	1
GO:0016591	0.0132643626875925	0.995866425706146	8	87	RNA polymerase II, holoenzyme	CC	1	1
GO:0002885	0.0134413946595918	0.999434555595063	2	6	positive regulation of hypersensitivity	BP	1	1
GO:0006605	0.013464154446884	0.993041323863545	21	323	protein targeting	BP	1	1
GO:0070390	0.013547902243321	0.999472842101068	2	5	transcription export complex 2	CC	1	1
GO:0140721	0.0135533340345617	0.999543995455291	2	4	nuclease inhibitor activity	MF	1	1
GO:0043047	0.0135982514880226	0.998649339601302	3	12	single-stranded telomeric DNA binding	MF	1	1
GO:0043601	0.0137113627372318	0.998592253269093	3	14	nuclear replisome	CC	1	1
GO:0016251	0.013821635947183	0.997132114793267	5	39	RNA polymerase II general transcription initiation factor activity	MF	1	1
GO:0045296	0.0139128523722791	0.992560863250181	23	333	cadherin binding	MF	1	1
GO:0032231	0.0139996194475278	0.994911597932219	10	109	regulation of actin filament bundle assembly	BP	1	1
GO:0032983	0.0140319299838476	0.999519080568908	2	4	kainate selective glutamate receptor complex	CC	1	1
GO:0004602	0.0141710532626925	0.998443525654843	3	21	glutathione peroxidase activity	MF	1	1
GO:0071261	0.0141926404957247	1	1	1	Ssh1 translocon complex	CC	1	1
GO:0005925	0.0142746430448711	0.991847813907874	28	422	focal adhesion	CC	1	1
GO:0098803	0.0142943465031475	0.996342873228854	6	89	respiratory chain complex	CC	1	1
GO:1900152	0.0144034974632161	0.998538119101545	3	12	negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	BP	1	1
GO:1902255	0.0144414490242815	0.999309543818824	2	8	positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator	BP	1	1
GO:0030160	0.0147350192842452	0.999481632607719	2	4	synaptic receptor adaptor activity	MF	1	1
GO:0022904	0.0147981018784774	0.995245790208898	8	119	respiratory electron transport chain	BP	1	1
GO:0006396	0.0148396362414559	0.990042926204243	52	1397	RNA processing	BP	1	1
GO:0005776	0.0148482080737614	0.994544917562801	10	114	autophagosome	CC	1	1
GO:0017053	0.0148844071061916	0.995290334571789	8	77	transcription repressor complex	CC	1	1
GO:0005515	0.0149275506118868	0.988206823950451	534	13966	protein binding	MF	1	1
GO:1901657	0.0152390685906654	0.99556771846848	7	81	glycosyl compound metabolic process	BP	1	1
GO:0061185	0.0155501372433598	1	1	1	negative regulation of dermatome development	BP	1	1
GO:0045900	0.015572866272346	0.999347489456058	2	5	negative regulation of translational elongation	BP	1	1
GO:0071103	0.0156928083861612	0.994204667085067	10	104	DNA conformation change	BP	1	1
GO:0042254	0.0157972984804895	0.991996942207632	19	310	ribosome biogenesis	BP	1	1
GO:0005576	0.0160124236336055	0.987349494204144	164	4595	extracellular region	CC	1	1
GO:0005681	0.0160765234505194	0.992837778596442	14	196	spliceosomal complex	CC	1	1
GO:0045660	0.0161420210615271	1	1	1	positive regulation of neutrophil differentiation	BP	1	1
GO:0000377	0.0162459586852556	0.991588578698581	20	325	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	BP	1	1
GO:0000398	0.0162459586852556	0.991588578698581	20	325	mRNA splicing, via spliceosome	BP	1	1
GO:0019370	0.0162837489009313	0.998116142190594	3	21	leukotriene biosynthetic process	BP	1	1
GO:0043715	0.0163449953872953	1	1	1	2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity	MF	1	1
GO:0043716	0.0163449953872953	1	1	1	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity	MF	1	1
GO:0043874	0.0163449953872953	1	1	1	acireductone synthase activity	MF	1	1
GO:0006469	0.0164411049915579	0.992418991517197	15	216	negative regulation of protein kinase activity	BP	1	1
GO:0016684	0.0165197320648619	0.996336075538056	5	56	oxidoreductase activity, acting on peroxide as acceptor	MF	1	1
GO:0035795	0.0167334304260246	0.998054405232645	3	20	negative regulation of mitochondrial membrane permeability	BP	1	1
GO:0001794	0.0167337315849741	0.999209301905732	2	6	type IIa hypersensitivity	BP	1	1
GO:0002445	0.0167337315849741	0.999209301905732	2	6	type II hypersensitivity	BP	1	1
GO:0022616	0.0168329971543043	0.996344061358267	5	37	DNA strand elongation	BP	1	1
GO:0044260	0.0168787109963149	0.986801495172653	145	3249	cellular macromolecule metabolic process	BP	1	1
GO:0019771	0.0170188609287542	1	1	1	high-affinity IgG receptor activity	MF	1	1
GO:0070816	0.017470767515153	0.998035113085757	3	14	phosphorylation of RNA polymerase II C-terminal domain	BP	1	1
GO:0004648	0.0175052653202842	1	1	1	O-phospho-L-serine:2-oxoglutarate aminotransferase activity	MF	1	1
GO:0008442	0.0175533652396686	1	1	1	3-hydroxyisobutyrate dehydrogenase activity	MF	1	1
GO:1904813	0.0176804234267157	0.993306286220101	10	124	ficolin-1-rich granule lumen	CC	1	1
GO:0071007	0.0176884356161244	0.996918465530418	4	30	U2-type catalytic step 2 spliceosome	CC	1	1
GO:0047844	0.0177119704713493	0.999030387899805	2	9	deoxycytidine deaminase activity	MF	1	1
GO:0051415	0.0177465108834419	1	1	1	microtubule nucleation by interphase microtubule organizing center	BP	1	1
GO:0005759	0.0177908551301184	0.989846088337482	26	483	mitochondrial matrix	CC	1	1
GO:0006544	0.017850997985066	0.997952689438109	3	15	glycine metabolic process	BP	1	1
GO:0032508	0.0178952054953467	0.993670405986943	9	91	DNA duplex unwinding	BP	1	1
GO:0048284	0.0179019031975646	0.992505429265438	12	154	organelle fusion	BP	1	1
GO:0098789	0.0180444575255834	0.997945614382037	3	14	pre-mRNA cleavage required for polyadenylation	BP	1	1
GO:0000375	0.0182924993661298	0.990412315125691	20	329	RNA splicing, via transesterification reactions	BP	1	1
GO:0090288	0.0185080051362679	0.993352386025156	9	119	negative regulation of cellular response to growth factor stimulus	BP	1	1
GO:0008131	0.018558489287618	0.999073317001204	2	6	primary amine oxidase activity	MF	1	1
GO:0098847	0.018609695174387	0.99785633461305	3	14	sequence-specific single stranded DNA binding	MF	1	1
GO:1904825	0.0186324672939437	0.999067643418631	2	6	protein localization to microtubule plus-end	BP	1	1
GO:1905725	0.0186324672939437	0.999067643418631	2	6	protein localization to microtubule end	BP	1	1
GO:0030055	0.0189559176368294	0.988911897778662	28	432	cell-substrate junction	CC	1	1
GO:1902230	0.0189676523130406	0.996625436413814	4	30	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage	BP	1	1
GO:0044282	0.019022700963316	0.989501779267605	23	387	small molecule catabolic process	BP	1	1
GO:0008380	0.0190328885065736	0.988962135516996	27	464	RNA splicing	BP	1	1
GO:0140513	0.019032895390788	0.986539090811242	65	1287	nuclear protein-containing complex	CC	1	1
GO:0032205	0.0191645882314947	0.995707036065492	5	36	negative regulation of telomere maintenance	BP	1	1
GO:0019646	0.0193133629122692	0.994716313536436	6	91	aerobic electron transport chain	BP	1	1
GO:0051098	0.0195578045291264	0.989184813248958	23	372	regulation of binding	BP	1	1
GO:0004661	0.0195856661984699	0.999072295799642	2	5	protein geranylgeranyltransferase activity	MF	1	1
GO:0006414	0.0195942750040539	0.9947467972831	6	53	translational elongation	BP	1	1
GO:0030514	0.0196039360144948	0.994699618442079	6	62	negative regulation of BMP signaling pathway	BP	1	1
GO:0043433	0.0196950363221763	0.991597958367791	12	192	negative regulation of DNA-binding transcription factor activity	BP	1	1
GO:0047021	0.0199332220156061	1	1	1	15-hydroxyprostaglandin dehydrogenase (NADP+) activity	MF	1	1
GO:0050221	0.0199332220156061	1	1	1	prostaglandin-E2 9-reductase activity	MF	1	1
GO:0033673	0.0203123737532009	0.990121760749162	16	240	negative regulation of kinase activity	BP	1	1
GO:0005766	0.0204718470923877	0.991620632426118	11	155	primary lysosome	CC	1	1
GO:0042582	0.0204718470923877	0.991620632426118	11	155	azurophil granule	CC	1	1
GO:0017154	0.0205792465666614	0.997608654977783	3	12	semaphorin receptor activity	MF	1	1
GO:0002183	0.0205846792017374	0.995266170156285	5	40	cytoplasmic translational initiation	BP	1	1
GO:0110096	0.0206740543246224	0.997447120045948	3	17	cellular response to aldehyde	BP	1	1
GO:0044877	0.020676419440074	0.985241029012599	67	1297	protein-containing complex binding	MF	1	1
GO:0043023	0.0207714159627522	0.997505133085544	3	14	ribosomal large subunit binding	MF	1	1
GO:0048169	0.0208478670555628	0.996282399521404	4	23	regulation of long-term neuronal synaptic plasticity	BP	1	1
GO:0006271	0.0209864588463845	0.997440524398895	3	15	DNA strand elongation involved in DNA replication	BP	1	1
GO:1902888	0.0210947961268307	1	1	1	protein localization to astral microtubule	BP	1	1
GO:0030901	0.021097583826631	0.992834984715804	8	91	midbrain development	BP	1	1
GO:0008460	0.0211891922163368	1	1	1	dTDP-glucose 4,6-dehydratase activity	MF	1	1
